Marka,Fiyat,İşlemci Tipi,SSD Kapasitesi,Ram (Sistem Belleği),Ekran Kartı,Kapasite,İşletim Sistemi,Ekran Kartı Bellek Tipi,Ekran Kartı Tipi,Garanti Tipi,Ram (Sistem Belleği) Tipi,İşlemci Çekirdek Sayısı,İşlemci Nesli,İşlemci Modeli,Çözünürlük,Power Supply,Kullanım Amacı,Ekran Kartı Hafızası,Temel İşlemci Hızı (GHz),Bağlantılar,Cihaz Ağırlığı,Ekran Boyutu,İşlemci Frekansı,Ekran Yenileme Hızı,Panel Tipi,Menşei,Arttırılabilir Azami Bellek
HP,33531.43,Intel Core i5,1 TB,8 GB,Nvidia GeForce GT 730,Yok,Windows,DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
HP,36857.27,Intel Core i5,256 GB,36 GB,Nvidia GeForce GTX 1650,Yok,Windows,GDDR6,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
HP,41110.47,Intel Core i5,2 TB,24 GB,Nvidia GeForce GTX 1650,Yok,Windows,GDDR6,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
HP,62467.32,Intel Core i7,4 TB,32 GB,Nvidia GeForce GTX 1650,Yok,Windows,GDDR6,Harici,HP Türkiye Garantili,DDR4,24,13. Nesil,13700,1920 x 1080,,Ofis - İş,4 GB ve altı,1.5,USB,,23.8 inç,,,,,64 GB
HP,58476.26,Intel Core i7,4 TB,12 GB,Nvidia GeForce GTX 1650,Yok,Windows,GDDR6,Harici,HP Türkiye Garantili,DDR4,24,13. Nesil,13700,1920 x 1080,,Ofis - İş,4 GB ve altı,1.5,USB,,23.8 inç,,,,,64 GB
HP,38391.92,AMD Ryzen 3,4 TB,8 GB,AMD Radeon RX550,Yok,Windows,GDDR5,Harici,HP Türkiye Garantili,DDR4,4,5. Nesil,5300G,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
HP,38925.58,Intel Core i5,2 TB,36 GB,Nvidia GeForce GTX 1650,Yok,Windows,GDDR6,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,,,,,,64 GB
HP,33831.35,Intel Core i5,256 GB,36 GB,Nvidia GeForce GTX 1650,Yok,Windows,GDDR6,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,,,,,,64 GB
HP,36166.98,Intel Core i3,4 TB,8 GB,AMD Radeon RX550,Yok,Windows,GDDR5,Harici,HP Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
HP,38391.92,AMD Ryzen 3,4 TB,12 GB,AMD Radeon RX550,Yok,Windows,GDDR5,Harici,HP Türkiye Garantili,DDR4,4,5. Nesil,5300G,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
HP,36411.73,AMD Ryzen 3,4 TB,12 GB,AMD Radeon RX550,Yok,Windows,GDDR5,Harici,HP Türkiye Garantili,DDR4,4,5. Nesil,5300G,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
HP,37279.45,AMD Ryzen 3,4 TB,8 GB,Nvidia GeForce GT 730,Yok,Windows,DDR3,Harici,HP Türkiye Garantili,DDR4,4,5. Nesil,5300G,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
