Marka,Fiyat,İşlemci Tipi,SSD Kapasitesi,Ram (Sistem Belleği),Ekran Kartı,Kapasite,İşletim Sistemi,Ekran Kartı Bellek Tipi,Ekran Kartı Tipi,Garanti Tipi,Ram (Sistem Belleği) Tipi,İşlemci Çekirdek Sayısı,İşlemci Nesli,İşlemci Modeli,Çözünürlük,Power Supply,Kullanım Amacı,Ekran Kartı Hafızası,Temel İşlemci Hızı (GHz),Bağlantılar,Cihaz Ağırlığı,Ekran Boyutu,İşlemci Frekansı,Ekran Yenileme Hızı,Panel Tipi,Menşei,Arttırılabilir Azami Bellek
ACER,37034.71,Intel Core i5,4 TB,24 GB,Dahili Ekran Kartı,4 TB,Windows,Dahili,Dahili,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,Paylaşımlı,,USB,,,,,,,64 GB
ACER,26294.36,Intel Core i3,512 GB,40 GB,NVIDIA GeForce GT1030,512 GB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,26123.6,Intel Core i5,256 GB,16 GB,Nvidia GeForce GT 730,256 GB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,24314.16,Intel Core i3,512 GB,40 GB,NVIDIA GeForce GT1030,512 GB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,28065.97,Intel Core i5,256 GB,36 GB,NVIDIA GeForce GT1030,256 GB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,29278.56,Intel Core i5,512 GB,36 GB,AMD Radeon RX550,512 GB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,39878.18,Intel Core i5,4 TB,36 GB,Nvidia GeForce GT 730,4 TB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,30747.02,Intel Core i5,256 GB,48 GB,Nvidia GeForce GT 730,256 GB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,32862.2,Intel Core i5,4 TB,12 GB,Dahili Ekran Kartı,4 TB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,Paylaşımlı,,USB,,,,,,,64 GB
ACER,29278.56,Intel Core i5,256 GB,40 GB,AMD Radeon RX550,256 GB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,34973.52,Intel Core i5,2 TB,48 GB,AMD Radeon RX550,2 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,27079.17,Intel Core i5,256 GB,48 GB,Nvidia GeForce GT 730,256 GB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,22549.78,Intel Core i3,256 GB,8 GB,Nvidia GeForce GT 730,256 GB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,28704.53,Intel Core i5,256 GB,24 GB,Nvidia GeForce GT 730,256 GB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,31886.19,Intel Core i5,512 GB,8 GB,Nvidia GeForce GTX 1650,512 GB,Windows,GDDR6,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,31176.88,Intel Core i5,1 TB,32 GB,AMD Radeon RX550,1 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,28766.83,Intel Core i5,256 GB,48 GB,Nvidia GeForce GT 730,256 GB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,30602.85,Intel Core i5,1 TB,20 GB,Nvidia GeForce GT 730,1 TB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,32460.23,Intel Core i5,512 GB,48 GB,AMD Radeon RX550,512 GB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,30506.73,Intel Core i5,512 GB,16 GB,Nvidia GeForce GTX 1650,512 GB,Windows,GDDR6,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,32707.64,Intel Core i5,1 TB,64 GB,Nvidia GeForce GT 730,1 TB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,41079.65,Intel Core i5,4 TB,48 GB,Nvidia GeForce GT 730,4 TB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,21447.29,Intel Core i3,512 GB,40 GB,Nvidia GeForce GT 730,512 GB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,35800.31,Intel Core i5,1 TB,64 GB,AMD Radeon RX550,1 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,31804.32,Intel Core i5,1 TB,12 GB,Nvidia GeForce GTX 1650,1 TB,Windows,GDDR6,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,33445.32,Intel Core i3,4 TB,36 GB,NVIDIA GeForce GT1030,4 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,24073.82,Intel Core i5,256 GB,16 GB,Nvidia GeForce GT 730,256 GB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,38680.61,Intel Core i3,4 TB,64 GB,AMD Radeon RX550,4 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,29223.38,Intel Core i5,1 TB,24 GB,Nvidia GeForce GT 730,1 TB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,30887.97,Intel Core i3,2 TB,48 GB,Nvidia GeForce GT 730,2 TB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,37835.69,Intel Core i5,4 TB,12 GB,Nvidia GeForce GT 730,4 TB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,37086.89,Intel Core i5,4 TB,16 GB,AMD Radeon RX550,4 TB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,29819.4,Intel Core i5,1 TB,36 GB,AMD Radeon RX550,1 TB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,39600.07,Intel Core i5,4 TB,48 GB,NVIDIA GeForce GT1030,4 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,25382.58,Intel Core i3,1 TB,24 GB,AMD Radeon RX550,1 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,35827.01,Intel Core i5,1 TB,36 GB,Nvidia GeForce GTX 1650,1 TB,Windows,GDDR6,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,29215.37,Intel Core i5,2 TB,16 GB,Dahili Ekran Kartı,2 TB,Windows,Dahili,Dahili,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,Paylaşımlı,,USB,,,,,,,64 GB
ACER,24756.85,Intel Core i5,512 GB,16 GB,Nvidia GeForce GT 730,512 GB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,31103.46,Intel Core i5,1 TB,20 GB,NVIDIA GeForce GT1030,1 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,34911.23,Intel Core i5,2 TB,24 GB,AMD Radeon RX550,2 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,21682.06,Intel Core i3,256 GB,12 GB,AMD Radeon RX550,256 GB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,37897.99,Intel Core i5,4 TB,36 GB,Nvidia GeForce GT 730,4 TB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,24926.02,Intel Core i3,512 GB,40 GB,AMD Radeon RX550,512 GB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,26223.61,Intel Core i3,1 TB,36 GB,AMD Radeon RX550,1 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,28554.52,Intel Core i5,1 TB,36 GB,Nvidia GeForce GT 730,1 TB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,24288.72,Intel Core i3,1 TB,48 GB,Nvidia GeForce GT 730,1 TB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,27484.44,Intel Core i5,1 TB,20 GB,NVIDIA GeForce GT1030,1 TB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,21865.21,Intel Core i3,1 TB,8 GB,AMD Radeon RX550,1 TB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,30042.16,Intel Core i5,1 TB,36 GB,Dahili Ekran Kartı,1 TB,Windows,Dahili,Dahili,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,Paylaşımlı,,USB,,,,,,,64 GB
ACER,21070.2,Intel Core i3,256 GB,12 GB,NVIDIA GeForce GT1030,256 GB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,22922.65,Intel Core i3,1 TB,36 GB,Nvidia GeForce GT 730,1 TB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,38726.18,Intel Core i5,4 TB,32 GB,AMD Radeon RX550,4 TB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,34985.98,Intel Core i5,1 TB,24 GB,Nvidia GeForce GTX 1650,1 TB,Windows,GDDR6,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,33538.15,Intel Core i5,1 TB,40 GB,Nvidia GeForce GTX 1650,1 TB,Free Dos (İşletim Sistemi Yok),GDDR6,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,23662.25,Intel Core i3,256 GB,12 GB,AMD Radeon RX550,256 GB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,31766.49,Intel Core i5,1 TB,48 GB,NVIDIA GeForce GT1030,1 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,38422.18,Intel Core i5,2 TB,32 GB,Nvidia GeForce GTX 1650,2 TB,Windows,GDDR6,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,23212.82,Intel Core i3,512 GB,36 GB,Nvidia GeForce GT 730,512 GB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,23569.25,Intel Core i3,1 TB,8 GB,NVIDIA GeForce GT1030,1 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,35971.19,Intel Core i5,256 GB,64 GB,Nvidia GeForce GTX 1650,256 GB,Windows,GDDR6,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,26264.55,Intel Core i3,2 TB,16 GB,Nvidia GeForce GT 730,2 TB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,27377.02,Intel Core i3,2 TB,16 GB,AMD Radeon RX550,2 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,31777.62,Intel Core i5,1 TB,40 GB,AMD Radeon RX550,1 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,22922.65,Intel Core i3,1 TB,32 GB,Nvidia GeForce GT 730,1 TB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,30287.24,Intel Core i3,2 TB,40 GB,Nvidia GeForce GT 730,2 TB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,31729.56,Intel Core i5,2 TB,12 GB,AMD Radeon RX550,2 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,28166.09,Intel Core i5,256 GB,40 GB,Nvidia GeForce GT 730,256 GB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,28192.68,Intel Core i3,1 TB,40 GB,NVIDIA GeForce GT1030,1 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,24073.82,Intel Core i5,256 GB,20 GB,Nvidia GeForce GT 730,256 GB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,28622.65,Intel Core i5,1 TB,16 GB,Nvidia GeForce GT 730,1 TB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,26277.74,Intel Core i5,1 TB,36 GB,Dahili Ekran Kartı,1 TB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,Paylaşımlı,,USB,,,,,,,64 GB
ACER,35302.82,Intel Core i5,2 TB,64 GB,Nvidia GeForce GT 730,2 TB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,27661.01,Intel Core i5,512 GB,32 GB,AMD Radeon RX550,512 GB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,38336.3,Intel Core i5,4 TB,12 GB,NVIDIA GeForce GT1030,4 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,29134.39,Intel Core i5,1 TB,12 GB,AMD Radeon RX550,1 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,34687.84,Intel Core i5,1 TB,64 GB,Nvidia GeForce GT 730,1 TB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,30548.99,Intel Core i5,2 TB,24 GB,Nvidia GeForce GT 730,2 TB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,36456.22,Intel Core i5,4 TB,20 GB,Nvidia GeForce GT 730,4 TB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,37028.48,Intel Core i5,1 TB,48 GB,Nvidia GeForce GTX 1650,1 TB,Windows,GDDR6,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,30709.2,Intel Core i5,256 GB,64 GB,NVIDIA GeForce GT1030,256 GB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,33442.21,Intel Core i3,2 TB,64 GB,AMD Radeon RX550,2 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,29405.27,Intel Core i3,1 TB,48 GB,AMD Radeon RX550,1 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,36391.21,Intel Core i5,4 TB,16 GB,NVIDIA GeForce GT1030,4 TB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,27706.31,Intel Core i3,2 TB,32 GB,Nvidia GeForce GT 730,2 TB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,36433.98,Intel Core i5,4 TB,16 GB,Dahili Ekran Kartı,4 TB,Windows,Dahili,Dahili,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,Paylaşımlı,,USB,,,,,,,64 GB
ACER,28766.83,Intel Core i5,512 GB,40 GB,Nvidia GeForce GT 730,512 GB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,30502.44,Intel Core i5,1 TB,40 GB,AMD Radeon RX550,1 TB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,33545.23,Intel Core i5,4 TB,16 GB,Dahili Ekran Kartı,4 TB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,Paylaşımlı,,USB,,,,,,,64 GB
ACER,27138.24,Intel Core i3,2 TB,36 GB,AMD Radeon RX550,2 TB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,31257.87,Intel Core i5,2 TB,40 GB,Dahili Ekran Kartı,2 TB,Windows,Dahili,Dahili,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,Paylaşımlı,,USB,,,,,,,64 GB
ACER,30064.41,Intel Core i5,1 TB,36 GB,Nvidia GeForce GT 730,1 TB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,25689.62,Intel Core i3,1 TB,40 GB,Dahili Ekran Kartı,1 TB,Windows,Dahili,Dahili,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,Paylaşımlı,1.7,USB,,,,,,,64 GB
ACER,31114.58,Intel Core i5,1 TB,12 GB,AMD Radeon RX550,1 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,28144.62,Intel Core i3,2 TB,12 GB,NVIDIA GeForce GT1030,2 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,27497.09,Intel Core i5,1 TB,12 GB,AMD Radeon RX550,1 TB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,29816.11,Intel Core i5,2 TB,24 GB,Dahili Ekran Kartı,2 TB,Windows,Dahili,Dahili,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,Paylaşımlı,,USB,,,,,,,64 GB
ACER,27598.28,Intel Core i5,1 TB,24 GB,Nvidia GeForce GT 730,1 TB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,30594.84,Intel Core i5,2 TB,8 GB,Dahili Ekran Kartı,2 TB,Windows,Dahili,Dahili,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,Paylaşımlı,,USB,,,,,,,64 GB
ACER,31715.32,Intel Core i5,1 TB,16 GB,AMD Radeon RX550,1 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,24962.65,Intel Core i3,2 TB,48 GB,Dahili Ekran Kartı,2 TB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,Paylaşımlı,1.7,USB,,,,,,,64 GB
ACER,36638.11,Intel Core i3,4 TB,40 GB,AMD Radeon RX550,4 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
ACER,31818.56,Intel Core i5,2 TB,24 GB,Nvidia GeForce GT 730,2 TB,Windows,DDR3,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,27220.94,Intel Core i5,1 TB,24 GB,Dahili Ekran Kartı,1 TB,Windows,Dahili,Dahili,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,Paylaşımlı,,USB,,,,,,,64 GB
ACER,31114.58,Intel Core i5,1 TB,8 GB,AMD Radeon RX550,1 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,25338.7,Intel Core i5,512 GB,12 GB,AMD Radeon RX550,512 GB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,ACER Türkiye Garantili,DDR4,12+,12. Nesil,12400,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
ACER,36026.25,Intel Core i3,4 TB,40 GB,NVIDIA GeForce GT1030,4 TB,Windows,GDDR5,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
